DATE,FID,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE,SOIL,MIN,MAX,RANGE,MEAN,LU_DES_TH,LU_DES_EN,BHUMIBOL,SIRIKIT,KHWAENOI,PASAK,B_Drainage_water,S_Drainage_water,K_Drainage_water,P_Drainage_water,B-Accumulated_drainage,S-Accumulated_drainage,K-Accumulated_drainage,P-Accumulated_drainage,RAINFALL
16/2/2022,847,656538.8,1623433,Ang Thong,Chai Yo,Water,0,-26,-18,8,-24.87,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,10.60
16/2/2022,844,657598,1622687,Ang Thong,Chai Yo,Sandy Clay Loam,6,-32,-13,19,-24.24,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,10.60
16/2/2022,846,658436.8,1622235,Ang Thong,Chai Yo,Sandy Clay Loam,6,-37,-18,19,-25.86,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,10.60
16/2/2022,843,657117.6,1622506,Ang Thong,Chai Yo,Sandy Loam,10,-29,-10,19,-20.49,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,10.60
16/2/2022,845,657251.3,1623539,Ang Thong,Chai Yo,Sandy Loam,10,-30,-13,17,-22.23,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,10.60
16/2/2022,820,656762.1,1612319,Ang Thong,Muang Ang Thong,Water,0,-30,-17,13,-25.46,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,7.50
16/2/2022,819,654299.9,1612550,Ang Thong,Muang Ang Thong,Sandy Clay Loam,6,-46,-6,40,-26.37,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,7.50
16/2/2022,817,657306.4,1610869,Ang Thong,Muang Ang Thong,Sandy Clay Loam,6,-35,-9,26,-25.23,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,7.50
16/2/2022,816,655729.3,1612316,Ang Thong,Muang Ang Thong,Sandy Loam,10,-31,-4,27,-21.96,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,7.50
16/2/2022,818,658023.8,1612299,Ang Thong,Muang Ang Thong,Sandy Loam,10,-31,-6,25,-23.18,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,7.50
16/2/2022,807,656957.9,1601528,Ang Thong,Pa Mok,Water,0,-31,-15,16,-25.21,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,7.30
16/2/2022,802,657107.1,1600038,Ang Thong,Pa Mok,Clay,1,-54,-11,43,-27.92,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,7.30
16/2/2022,806,654736.5,1605102,Ang Thong,Pa Mok,Sandy Clay Loam,6,-70,31,101,-26.22,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,7.30
16/2/2022,804,657730.2,1602525,Ang Thong,Pa Mok,Sandy Clay Loam,6,-56,29,85,-25.82,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,7.30
