DATE,PROVINCE,DISTRICT,TEXTURE,SOIL,Bhumibol,Sirikit,Khwaenoi,Pasak,RAINFALL,Flood
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียว,3,7646.00,6128.00,590.00,442.00,54.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียว,3,7646.00,6128.00,590.00,442.00,54.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนปนทรายแป้ง,11,7646.00,6128.00,590.00,442.00,54.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนเหนียวปนทรายแป้ง,10,7646.00,6128.00,590.00,442.00,54.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียว,3,7646.00,6128.00,590.00,442.00,54.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนเหนียวปนทรายแป้ง,10,7646.00,6128.00,590.00,442.00,54.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียวปนทรายแป้ง,8,7646.00,6128.00,590.00,442.00,54.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,น้ำ,0,7646.00,6128.00,590.00,442.00,54.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียวปนทรายแป้ง,8,7646.00,6128.00,590.00,442.00,54.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนปนทรายแป้ง,11,7646.00,6128.00,590.00,442.00,54.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินเหนียว,3,7646.00,6128.00,590.00,442.00,56.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินเหนียว,3,7646.00,6128.00,590.00,442.00,56.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินร่วนปนทรายแป้ง,11,7646.00,6128.00,590.00,442.00,56.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินร่วนเหนียวปนทรายแป้ง,10,7646.00,6128.00,590.00,442.00,56.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินร่วนเหนียวปนทรายแป้ง,10,7646.00,6128.00,590.00,442.00,56.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินเหนียวปนทรายแป้ง,8,7646.00,6128.00,590.00,442.00,56.50,2.00
20-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,น้ำ,0,7646.00,6128.00,590.00,442.00,56.50,2.00
