DATE,PROVINCE,DISTRICT,TEXTURE,SOIL,BHUMIBOL,SIRIKIT,KHWAENOI,PASAK,RAINFALL,FLOOD
20/9/2012,Ang Thong,Chai Yo,น้ำ,0,7646.00,6128.00,590.00,442.00,42.50,2
20/9/2012,Ang Thong,Chai Yo,ดินร่วนเหนียวปนทราย,6,7646.00,6128.00,590.00,442.00,42.50,2
20/9/2012,Ang Thong,Chai Yo,ดินร่วนเหนียวปนทราย,6,7646.00,6128.00,590.00,442.00,42.50,2
20/9/2012,Ang Thong,Chai Yo,ดินร่วนปนทราย,10,7646.00,6128.00,590.00,442.00,42.50,2
20/9/2012,Ang Thong,Chai Yo,ดินร่วนปนทราย,10,7646.00,6128.00,590.00,442.00,42.50,2
20/9/2012,Ang Thong,Muang Ang Thong,น้ำ,0,7646.00,6128.00,590.00,442.00,0.00,0
20/9/2012,Ang Thong,Muang Ang Thong,ดินร่วนเหนียวปนทราย,6,7646.00,6128.00,590.00,442.00,0.00,0
20/9/2012,Ang Thong,Muang Ang Thong,ดินร่วนเหนียวปนทราย,6,7646.00,6128.00,590.00,442.00,0.00,0
20/9/2012,Ang Thong,Muang Ang Thong,ดินร่วนปนทราย,10,7646.00,6128.00,590.00,442.00,0.00,0
20/9/2012,Ang Thong,Muang Ang Thong,ดินร่วนปนทราย,10,7646.00,6128.00,590.00,442.00,0.00,0
20/9/2012,Ang Thong,Pa Mok,ดินเหนียว,1,7646.00,6128.00,590.00,442.00,37.50,2
20/9/2012,Ang Thong,Pa Mok,ดินร่วนเหนียวปนทราย,6,7646.00,6128.00,590.00,442.00,37.50,2
20/9/2012,Ang Thong,Pa Mok,ดินร่วนเหนียวปนทราย,6,7646.00,6128.00,590.00,442.00,37.50,2
20/9/2012,Ang Thong,Pa Mok,ดินร่วนปนทราย,10,7646.00,6128.00,590.00,442.00,37.50,2
20/9/2012,Ang Thong,Pa Mok,ดินร่วนปนทราย,10,7646.00,6128.00,590.00,442.00,37.50,2
20/9/2012,Ang Thong,Pho Thong,ดินเหนียวปนทราย,2,7646.00,6128.00,590.00,442.00,7.00,0
20/9/2012,Ang Thong,Pho Thong,ดินร่วนเหนียวปนทราย,6,7646.00,6128.00,590.00,442.00,7.00,0
20/9/2012,Ang Thong,Pho Thong,ดินร่วนเหนียวปนทราย,6,7646.00,6128.00,590.00,442.00,7.00,0
20/9/2012,Ang Thong,Pho Thong,ดินร่วนเหนียวปนทราย,6,7646.00,6128.00,590.00,442.00,7.00,0
