DATE,FID,
15/02/2022,847,
15/02/2022,844,
15/02/2022,846,
15/02/2022,843,
15/02/2022,845,
15/02/2022,820,
15/02/2022,819,
15/02/2022,817,
15/02/2022,816,
15/02/2022,818,
15/02/2022,807,
15/02/2022,802,
15/02/2022,806,
15/02/2022,804,
15/02/2022,803,
15/02/2022,805,
15/02/2022,815,
15/02/2022,811,
15/02/2022,813,
15/02/2022,812,
15/02/2022,809,
15/02/2022,810,
15/02/2022,808,
15/02/2022,814,
15/02/2022,828,
15/02/2022,831,
15/02/2022,829,
15/02/2022,830,
15/02/2022,835,
15/02/2022,832,
15/02/2022,833,
15/02/2022,834,
15/02/2022,838,
15/02/2022,840,
15/02/2022,842,
15/02/2022,839,
15/02/2022,837,
15/02/2022,836,
15/02/2022,841,
15/02/2022,822,
15/02/2022,823,
15/02/2022,821,
15/02/2022,825,
15/02/2022,826,
15/02/2022,827,
15/02/2022,824,
15/02/2022,2107,
15/02/2022,2108,
15/02/2022,2110,
15/02/2022,960,
15/02/2022,919,
15/02/2022,2085,
15/02/2022,2055,
15/02/2022,900,
15/02/2022,2056,
15/02/2022,947,
15/02/2022,894,
15/02/2022,896,
15/02/2022,2121,
15/02/2022,2122,
15/02/2022,2115,
15/02/2022,2052,
15/02/2022,2010,
15/02/2022,895,
15/02/2022,2119,
15/02/2022,872,
15/02/2022,2084,
15/02/2022,2114,
15/02/2022,871,
15/02/2022,2030,
15/02/2022,2102,
15/02/2022,2118,
15/02/2022,2096,
15/02/2022,2087,
15/02/2022,2072,
15/02/2022,943,
15/02/2022,926,
15/02/2022,893,
15/02/2022,2094,
15/02/2022,2054,
15/02/2022,949,
15/02/2022,2070,
15/02/2022,2103,
15/02/2022,929,
15/02/2022,2032,
15/02/2022,925,
15/02/2022,2097,
15/02/2022,2071,
15/02/2022,927,
15/02/2022,928,
15/02/2022,2065,
15/02/2022,942,
15/02/2022,2073,
15/02/2022,2093,
15/02/2022,2089,
15/02/2022,2079,
15/02/2022,933,
15/02/2022,954,
15/02/2022,2074,
15/02/2022,2090,
15/02/2022,2098,
15/02/2022,2069,
15/02/2022,936,
15/02/2022,934,
15/02/2022,958,
15/02/2022,2042,
15/02/2022,918,
15/02/2022,951,
15/02/2022,941,
15/02/2022,932,
15/02/2022,955,
15/02/2022,2086,
15/02/2022,940,
15/02/2022,2053,
15/02/2022,903,
15/02/2022,2057,
15/02/2022,948,
15/02/2022,2064,
15/02/2022,910,
15/02/2022,886,
15/02/2022,946,
15/02/2022,939,
15/02/2022,897,
15/02/2022,2080,
15/02/2022,892,
15/02/2022,2044,
15/02/2022,2051,
15/02/2022,891,
15/02/2022,2091,
15/02/2022,938,
15/02/2022,873,
15/02/2022,2063,
15/02/2022,2077,
15/02/2022,875,
15/02/2022,2078,
15/02/2022,950,
15/02/2022,2036,
15/02/2022,2031,
