DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE,SOIL,CONSTRUCTION,AGRICULTURE,FOREST,INDUSTRY,WATER,OTHER,BHUMIBOL,B_Drainage_water,B-Accumulated_drainage,SIRIKIT,S_Drainage_water,S-Accumulated_drainage,KHWAENOI,K_Drainage_water,K-Accumulated_drainage,PASAK,P_Drainage_water,P-Accumulated_drainage,RAINFALL,LEVEL,FLOOD
1/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,10,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12676.00,40.00,40.00,8763.00,30.07,30.07,768.00,10.37,10.37,789.00,8.79,8.79,0.00,0,No
1/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,6,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12676.00,40.00,40.00,8763.00,30.07,30.07,768.00,10.37,10.37,789.00,8.79,8.79,0.00,0,No
1/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,1,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12676.00,40.00,40.00,8763.00,30.07,30.07,768.00,10.37,10.37,789.00,8.79,8.79,0.00,0,No
1/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,10,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12676.00,40.00,40.00,8763.00,30.07,30.07,768.00,10.37,10.37,789.00,8.79,8.79,0.00,0,No
1/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,6,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12676.00,40.00,40.00,8763.00,30.07,30.07,768.00,10.37,10.37,789.00,8.79,8.79,0.00,0,No
1/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,0,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12676.00,40.00,40.00,8763.00,30.07,30.07,768.00,10.37,10.37,789.00,8.79,8.79,0.00,0,No
2/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,10,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12649.00,40.00,80.00,8740.00,30.01,60.08,758.00,10.37,20.74,778.00,8.74,17.53,0.00,0,No
2/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,6,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12649.00,40.00,80.00,8740.00,30.01,60.08,758.00,10.37,20.74,778.00,8.74,17.53,0.00,0,No
2/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,1,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12649.00,40.00,80.00,8740.00,30.01,60.08,758.00,10.37,20.74,778.00,8.74,17.53,0.00,0,No
2/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,10,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12649.00,40.00,80.00,8740.00,30.01,60.08,758.00,10.37,20.74,778.00,8.74,17.53,0.00,0,No
2/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,6,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12649.00,40.00,80.00,8740.00,30.01,60.08,758.00,10.37,20.74,778.00,8.74,17.53,0.00,0,No
2/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,0,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12649.00,40.00,80.00,8740.00,30.01,60.08,758.00,10.37,20.74,778.00,8.74,17.53,0.00,0,No
3/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,10,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12609.00,45.00,125.00,8713.00,36.17,96.25,749.00,10.37,31.11,768.00,8.70,26.23,0.00,0,No
3/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,6,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12609.00,45.00,125.00,8713.00,36.17,96.25,749.00,10.37,31.11,768.00,8.70,26.23,0.00,0,No
3/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,1,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12609.00,45.00,125.00,8713.00,36.17,96.25,749.00,10.37,31.11,768.00,8.70,26.23,0.00,0,No
3/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,10,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12609.00,45.00,125.00,8713.00,36.17,96.25,749.00,10.37,31.11,768.00,8.70,26.23,0.00,0,No
3/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,6,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12609.00,45.00,125.00,8713.00,36.17,96.25,749.00,10.37,31.11,768.00,8.70,26.23,0.00,0,No
3/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,0,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12609.00,45.00,125.00,8713.00,36.17,96.25,749.00,10.37,31.11,768.00,8.70,26.23,0.00,0,No
4/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,10,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12576.00,45.00,170.00,8683.00,36.09,132.34,739.00,10.37,41.48,759.00,8.66,34.89,0.00,0,No
4/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,6,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12576.00,45.00,170.00,8683.00,36.09,132.34,739.00,10.37,41.48,759.00,8.66,34.89,0.00,0,No
4/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,1,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12576.00,45.00,170.00,8683.00,36.09,132.34,739.00,10.37,41.48,759.00,8.66,34.89,0.00,0,No
4/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,10,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12576.00,45.00,170.00,8683.00,36.09,132.34,739.00,10.37,41.48,759.00,8.66,34.89,0.00,0,No
4/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,6,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12576.00,45.00,170.00,8683.00,36.09,132.34,739.00,10.37,41.48,759.00,8.66,34.89,0.00,0,No
4/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,0,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12576.00,45.00,170.00,8683.00,36.09,132.34,739.00,10.37,41.48,759.00,8.66,34.89,0.00,0,No
5/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,10,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12539.00,50.00,220.00,8651.00,40.08,172.42,729.00,10.37,51.85,751.00,6.97,41.86,0.00,0,No
5/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,6,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12539.00,50.00,220.00,8651.00,40.08,172.42,729.00,10.37,51.85,751.00,6.97,41.86,0.00,0,No
5/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,1,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12539.00,50.00,220.00,8651.00,40.08,172.42,729.00,10.37,51.85,751.00,6.97,41.86,0.00,0,No
5/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,10,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12539.00,50.00,220.00,8651.00,40.08,172.42,729.00,10.37,51.85,751.00,6.97,41.86,0.00,0,No
5/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,6,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12539.00,50.00,220.00,8651.00,40.08,172.42,729.00,10.37,51.85,751.00,6.97,41.86,0.00,0,No
5/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,0,68397.08,390994.14,5314.82,16898.71,28142.99,1018.30,12539.00,50.00,220.00,8651.00,40.08,172.42,729.00,10.37,51.85,751.00,6.97,41.86,0.00,0,No
