DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE,LEVEL
1/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
1/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
1/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
1/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
1/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
1/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
2/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
2/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
2/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
2/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
2/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
2/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
3/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
3/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
3/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
3/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
3/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
3/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
4/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
4/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
4/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
4/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
4/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
4/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
5/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
5/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
5/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
5/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
5/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
5/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
6/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
6/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
6/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
6/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
6/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
6/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
7/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
7/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
