DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE,SOIL,MIN,MAX,RANGE,MEAN,LU_DES_TH,LU_DES_EN,BHUMIBOL,B_Drainage_water,B-Accumulated_drainage,SIRIKIT,S_Drainage_water,S-Accumulated_drainage,KHWAENOI,K_Drainage_water,K-Accumulated_drainage,PASAK,P_Drainage_water,P-Accumulated_drainage,RAINFALL,FLOOD
28/6/2012,615450.9886,1592637.82,Suphanburi,Bang Pa Ma,Sandy Loam,10,-32,-17,15,-25.677341,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,617780.1901,1594287.979,Suphanburi,Bang Pa Ma,Sandy Clay Loam,6,-31,-21,10,-26.996325,แหล่งน้ำที่สร้างขึ้น,Artificial water body,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,Yes
28/6/2012,618698.9715,1592152.233,Suphanburi,Bang Pa Ma,Clay,1,-39,-17,22,-26.762035,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,Yes
28/6/2012,620624.5933,1592316.763,Suphanburi,Bang Pa Ma,Sandy Clay Loam,6,-43,-17,26,-27.014912,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,Yes
28/6/2012,623148.9147,1586232.469,Suphanburi,Bang Pa Ma,Clay,1,-42,-8,34,-27.73737,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,Yes
28/6/2012,623771.7393,1592332.776,Suphanburi,Bang Pa Ma,Clay,1,-33,-17,16,-27.269535,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,Yes
28/6/2012,624646.4905,1589886.093,Suphanburi,Bang Pa Ma,Sandy Loam,10,-29,-18,11,-24.101168,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,Yes
28/6/2012,625516.9727,1586096.59,Suphanburi,Bang Pa Ma,Clay,1,-42,-5,37,-27.874326,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,Yes
28/6/2012,539343.6925,1654575.476,Suphanburi,Dan Chang,Silty Clay Loam,5,261,395,134,343.247546,ไม้ผล,Orchard,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,539418.8441,1643805.89,Suphanburi,Dan Chang,Sandy Loam,10,223,359,136,282.817437,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,539526.0515,1642814.097,Suphanburi,Dan Chang,Sandy Loam,10,208,285,77,241.808703,ไม้ยืนต้น,Perennial crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,539712.4978,1647494.8,Suphanburi,Dan Chang,Sandy Loam,10,215,310,95,280.165638,หมู่บ้าน,Village,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,540005.1773,1653330.362,Suphanburi,Dan Chang,Clay Loam,4,278,339,61,302.404806,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,540129.7169,1646752.171,Suphanburi,Dan Chang,Sandy Loam,10,225,358,133,271.148555,พืชไร่/ไม้ยืนต้น,Field crop/Perennial crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,540362.3395,1642855.447,Suphanburi,Dan Chang,Clay Loam,4,164,311,147,247.982858,แหล่งน้ำที่สร้างขึ้น,Artificial water body,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,540718.7056,1643547.326,Suphanburi,Dan Chang,Clay Loam,4,110,591,481,307.277098,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,541485.9362,1647345.669,Suphanburi,Dan Chang,Sandy Loam,10,229,355,126,299.524802,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,541769.406,1642793.569,Suphanburi,Dan Chang,Sandy Loam,10,133,387,254,248.866602,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,542081.6885,1640760.719,Suphanburi,Dan Chang,Sandy Loam,10,65,367,302,254.373066,ไม้ยืนต้น,Perennial crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,543059.1665,1638501.801,Suphanburi,Dan Chang,Water,0,117,332,215,236.189774,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,543542.7768,1647785.01,Suphanburi,Dan Chang,Silty Clay Loam,5,148,442,294,300.577641,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
