DATE,XCoord,FLOOD
28/6/2012,656538.8035,No
28/6/2012,657117.5803,No
28/6/2012,657251.2791,No
28/6/2012,657598.0242,No
28/6/2012,658436.8024,No
28/6/2012,654299.8738,Yes
28/6/2012,655729.3261,Yes
28/6/2012,656762.1272,No
28/6/2012,657306.3507,Yes
28/6/2012,658023.7712,Yes
28/6/2012,654736.5379,Yes
28/6/2012,656287.2813,Yes
28/6/2012,656957.8814,No
28/6/2012,657107.0552,Yes
28/6/2012,657555.093,Yes
28/6/2012,657730.2246,Yes
28/6/2012,630696.2661,No
28/6/2012,632531.3477,No
28/6/2012,638489.6221,No
28/6/2012,639239.2847,No
28/6/2012,645220.7095,No
28/6/2012,647619.0498,No
28/6/2012,650267.2216,No
28/6/2012,652121.2196,No
28/6/2012,628870.6135,No
28/6/2012,629201.5653,No
28/6/2012,630056.7303,No
28/6/2012,632132.5781,No
28/6/2012,633889.7388,Yes
28/6/2012,633966.5091,No
28/6/2012,635604.5072,Yes
28/6/2012,636077.9315,No
28/6/2012,632220.9276,No
28/6/2012,637268.644,No
28/6/2012,637845.2268,No
28/6/2012,638030.1438,No
28/6/2012,639194.5183,No
28/6/2012,643961.0147,No
28/6/2012,644364.1208,No
28/6/2012,629545.6925,No
28/6/2012,635051.9158,No
28/6/2012,641436.9893,Yes
28/6/2012,642325.5519,Yes
28/6/2012,643024.6167,Yes
28/6/2012,646136.4506,Yes
28/6/2012,647083.6389,Yes
29/6/2012,656538.8035,No
29/6/2012,657117.5803,No
29/6/2012,657251.2791,No
29/6/2012,657598.0242,No
29/6/2012,658436.8024,No
29/6/2012,654299.8738,Yes
29/6/2012,655729.3261,Yes
29/6/2012,656762.1272,No
29/6/2012,657306.3507,Yes
29/6/2012,658023.7712,Yes
29/6/2012,654736.5379,Yes
29/6/2012,656287.2813,Yes
29/6/2012,656957.8814,No
29/6/2012,657107.0552,Yes
29/6/2012,657555.093,Yes
29/6/2012,657730.2246,Yes
29/6/2012,630696.2661,No
29/6/2012,632531.3477,No
29/6/2012,638489.6221,No
29/6/2012,639239.2847,No
29/6/2012,645220.7095,No
29/6/2012,647619.0498,No
29/6/2012,650267.2216,No
29/6/2012,652121.2196,No
29/6/2012,628870.6135,No
29/6/2012,629201.5653,No
29/6/2012,630056.7303,No
29/6/2012,632132.5781,No
29/6/2012,633889.7388,Yes
29/6/2012,633966.5091,No
29/6/2012,635604.5072,Yes
29/6/2012,636077.9315,No
29/6/2012,632220.9276,No
29/6/2012,637268.644,No
29/6/2012,637845.2268,No
29/6/2012,638030.1438,No
29/6/2012,639194.5183,No
29/6/2012,643961.0147,No
29/6/2012,644364.1208,No
29/6/2012,629545.6925,No
29/6/2012,635051.9158,No
29/6/2012,641436.9893,Yes
29/6/2012,642325.5519,Yes
29/6/2012,643024.6167,Yes
29/6/2012,646136.4506,Yes
29/6/2012,647083.6389,Yes
30/6/2012,656538.8035,No
30/6/2012,657117.5803,No
30/6/2012,657251.2791,No
30/6/2012,657598.0242,No
30/6/2012,658436.8024,No
30/6/2012,654299.8738,Yes
30/6/2012,655729.3261,Yes
30/6/2012,656762.1272,No
30/6/2012,657306.3507,Yes
30/6/2012,658023.7712,Yes
30/6/2012,654736.5379,Yes
30/6/2012,656287.2813,Yes
30/6/2012,656957.8814,No
30/6/2012,657107.0552,Yes
30/6/2012,657555.093,Yes
30/6/2012,657730.2246,Yes
30/6/2012,630696.2661,No
30/6/2012,632531.3477,No
30/6/2012,638489.6221,No
30/6/2012,639239.2847,No
30/6/2012,645220.7095,No
30/6/2012,647619.0498,No
30/6/2012,650267.2216,No
30/6/2012,652121.2196,No
30/6/2012,628870.6135,No
30/6/2012,629201.5653,No
30/6/2012,630056.7303,No
30/6/2012,632132.5781,No
30/6/2012,633889.7388,Yes
30/6/2012,633966.5091,No
30/6/2012,635604.5072,Yes
30/6/2012,636077.9315,No
30/6/2012,632220.9276,No
30/6/2012,637268.644,No
30/6/2012,637845.2268,No
30/6/2012,638030.1438,No
30/6/2012,639194.5183,No
30/6/2012,643961.0147,No
30/6/2012,644364.1208,No
30/6/2012,629545.6925,No
30/6/2012,635051.9158,No
30/6/2012,641436.9893,Yes
30/6/2012,642325.5519,Yes
30/6/2012,643024.6167,Yes
30/6/2012,646136.4506,Yes
30/6/2012,647083.6389,Yes
30/5/2012,647083.6389,No
28/6/2012,617780.1901,Yes
28/6/2012,618698.9715,Yes
28/6/2012,620624.5933,Yes
28/6/2012,623148.9147,Yes
28/6/2012,623771.7393,Yes
28/6/2012,624646.4905,Yes
28/6/2012,625516.9727,Yes
28/6/2012,539343.6925,No
28/6/2012,539418.8441,No
28/6/2012,539526.0515,No
28/6/2012,539712.4978,No
28/6/2012,540005.1773,No
28/6/2012,540129.7169,No
28/6/2012,540362.3395,No
28/6/2012,540718.7056,No
28/6/2012,541485.9362,No
28/6/2012,541769.406,No
28/6/2012,542081.6885,No
28/6/2012,543059.1665,No
28/6/2012,543542.7768,No
28/6/2012,543680.9852,No
28/6/2012,543769.9749,No
28/6/2012,543809.8108,No
28/6/2012,544689.8586,No
28/6/2012,545067.9884,No
28/6/2012,545259.787,No
28/6/2012,545414.3878,No
28/6/2012,546482.8468,No
28/6/2012,546838.3842,No
28/6/2012,547815.5028,No
28/6/2012,548236.2694,No
28/6/2012,549635.9243,No
28/6/2012,550479.7251,No
28/6/2012,550991.4496,No
28/6/2012,551428.9489,No
28/6/2012,554310.0927,No
28/6/2012,554944.842,No
28/6/2012,555101.1464,No
28/6/2012,555174.3435,No
28/6/2012,555258.4541,No
28/6/2012,555983.5631,No
28/6/2012,556012.4359,No
28/6/2012,556333.9012,No
28/6/2012,556340.2333,No
28/6/2012,556584.3271,No
28/6/2012,557363.3023,No
28/6/2012,558260.8027,No
28/6/2012,558692.4513,No
28/6/2012,559947.8545,No
28/6/2012,559998.8979,No
28/6/2012,560711.1427,No
28/6/2012,560812.1274,No
28/6/2012,562107.49,No
28/6/2012,562146.5364,No
28/6/2012,562762.2707,No
28/6/2012,565078.4551,No
28/6/2012,565778.3052,No
28/6/2012,565942.4061,No
28/6/2012,566126.0526,No
28/6/2012,566225.1398,No
28/6/2012,566663.799,No
28/6/2012,567354.842,No
28/6/2012,567666.3916,No
28/6/2012,567711.5987,No
28/6/2012,567933.303,No
28/6/2012,568259.4908,No
28/6/2012,574040.5026,No
28/6/2012,574640.8721,No
28/6/2012,574665.5823,No
28/6/2012,574813.5142,No
28/6/2012,575362.3273,No
28/6/2012,576625.3057,No
28/6/2012,577368.2826,No
28/6/2012,577745.6707,No
28/6/2012,578356.0616,No
28/6/2012,581710.5829,No
28/6/2012,582337.8621,No
28/6/2012,583146.5556,No
28/6/2012,586736.4453,No
28/6/2012,583441.4745,No
28/6/2012,588150.3335,No
28/6/2012,590707.4228,No
28/6/2012,593589.5603,No
28/6/2012,594107.4615,No
28/6/2012,594177.9193,No
28/6/2012,597079.5047,No
28/6/2012,599098.1429,No
28/6/2012,607667.3504,No
28/6/2012,607904.1108,No
28/6/2012,608282.8309,No
28/6/2012,608364.761,No
28/6/2012,611667.7373,No
28/6/2012,613591.0858,No
28/6/2012,616485.1334,No
28/6/2012,618706.9704,No
28/6/2012,620206.7952,Yes
28/6/2012,621904.1474,No
28/6/2012,623205.868,No
28/6/2012,625917.8652,No
28/6/2012,626071.2193,No
28/6/2012,629309.8249,No
28/6/2012,589235.3534,No
28/6/2012,596020.9394,No
28/6/2012,599715.3686,No
28/6/2012,602642.399,No
28/6/2012,611774.8208,No
28/6/2012,614509.5347,No
28/6/2012,614620.6433,No
28/6/2012,601522.2654,No
28/6/2012,602741.4831,No
28/6/2012,603330.3032,No
28/6/2012,603520.3964,No
28/6/2012,605184.9091,No
28/6/2012,605628.2608,No
28/6/2012,606729.5632,No
28/6/2012,606987.8171,No
28/6/2012,608823.7363,No
28/6/2012,614979.1985,Yes
28/6/2012,615667.2455,Yes
28/6/2012,616342.5143,Yes
28/6/2012,616530.4427,Yes
28/6/2012,616839.2377,Yes
28/6/2012,620759.1426,Yes
28/6/2012,625051.3602,Yes
28/6/2012,630201.1901,Yes
28/6/2012,572941.8911,No
28/6/2012,573178.4556,No
28/6/2012,573718.6352,No
28/6/2012,585064.0472,No
28/6/2012,588305.3438,No
28/6/2012,589307.6575,No
28/6/2012,596528.9094,No
28/6/2012,601501.5048,No
28/6/2012,603511.2845,No
28/6/2012,605274.434,No
28/6/2012,608127.011,No
28/6/2012,609639.5243,No
28/6/2012,609704.1877,No
28/6/2012,616892.718,No
28/6/2012,618995.7087,No
28/6/2012,621618.4895,No
28/6/2012,621955.1353,No
28/6/2012,622429.2609,No
28/6/2012,624026.8624,No
28/6/2012,625260.0612,No
28/6/2012,627086.2429,No
28/6/2012,627144.5762,No
28/6/2012,627585.2381,No
28/6/2012,628859.0374,No
28/6/2012,620046.0908,No
28/6/2012,622387.6845,Yes
28/6/2012,622577.6274,No
28/6/2012,623021.3883,No
28/6/2012,623160.0722,No
28/6/2012,625739.4239,Yes
28/6/2012,627939.3831,No
28/6/2012,628311.8437,No
28/6/2012,629074.243,No
28/6/2012,630502.4552,No
28/6/2012,586584.5302,No
28/6/2012,586926.5187,No
28/6/2012,587465.2339,No
28/6/2012,593354.8272,No
28/6/2012,598891.3485,No
28/6/2012,602306.954,No
28/6/2012,605373.1201,No
28/6/2012,606536.6398,No
28/6/2012,611321.2701,Yes
28/6/2012,616601.5642,Yes
28/6/2012,621168.6641,Yes
28/6/2012,586827.5888,No
28/6/2012,586945.7055,No
28/6/2012,587367.5789,No
28/6/2012,588628.0268,No
28/6/2012,588654.8114,No
28/6/2012,588778.1613,No
28/6/2012,588903.4251,No
28/6/2012,589785.8131,No
28/6/2012,589929.5017,No
28/6/2012,590432.6268,No
28/6/2012,590475.1877,No
28/6/2012,590990.7347,No
28/6/2012,591044.1372,No
28/6/2012,591073.336,No
28/6/2012,591548.0542,No
28/6/2012,591659.8915,No
28/6/2012,592792.9098,No
28/6/2012,593057.9249,No
28/6/2012,593099.4733,No
28/6/2012,593212.2204,No
28/6/2012,595391.7733,No
28/6/2012,596088.8593,No
28/6/2012,596363.6668,No
28/6/2012,597137.3455,No
28/6/2012,597695.9375,No
28/6/2012,597848.1812,No
28/6/2012,598724.2627,No
28/6/2012,599856.8698,No
28/6/2012,600325.3991,No
28/6/2012,600557.7714,Yes
28/6/2012,601366.4554,Yes
28/6/2012,601413.0169,No
28/6/2012,601415.4124,Yes
28/6/2012,601858.9574,Yes
28/6/2012,602504.6113,No
28/6/2012,603979.0606,No
28/6/2012,604254.8973,No
28/6/2012,675243.2328,Yes
28/6/2012,675830.7587,Yes
28/6/2012,676273.2597,Yes
28/6/2012,680379.5784,Yes
28/6/2012,684506.5037,Yes
28/6/2012,685386.4365,Yes
28/6/2012,687875.5898,No
28/6/2012,688239.8468,Yes
28/6/2012,688795.1603,Yes
28/6/2012,690858.3013,No
28/6/2012,693577.682,No
28/6/2012,700306.9053,No
28/6/2012,700909.0497,No
28/6/2012,701375.0739,No
28/6/2012,701746.5472,No
28/6/2012,702316.1798,No
28/6/2012,703753.5482,No
28/6/2012,703796.5889,No
28/6/2012,704081.1577,No
28/6/2012,704521.7942,No
28/6/2012,704663.9724,No
28/6/2012,705421.198,No
28/6/2012,705462.8076,No
28/6/2012,705614.2189,No
28/6/2012,705807.9599,No
28/6/2012,706528.0946,No
28/6/2012,707309.0887,No
28/6/2012,707899.7611,No
28/6/2012,707989.6429,No
28/6/2012,708423.757,No
28/6/2012,708646.2466,No
28/6/2012,708852.0288,No
28/6/2012,708871.7294,No
28/6/2012,708953.3555,No
28/6/2012,709767.0831,No
28/6/2012,709821.8615,No
28/6/2012,709950.8701,No
28/6/2012,671909.31,Yes
28/6/2012,673290.0715,Yes
28/6/2012,675640.3506,Yes
28/6/2012,711095.288,No
28/6/2012,711355.8588,No
28/6/2012,711902.5189,No
28/6/2012,711965.3604,No
28/6/2012,713388.0568,No
28/6/2012,713425.9314,No
28/6/2012,714061.0073,No
28/6/2012,714627.0497,No
28/6/2012,714634.6274,No
28/6/2012,714897.0675,No
28/6/2012,715064.6814,No
28/6/2012,715692.788,No
28/6/2012,716291.0319,No
28/6/2012,717126.8692,No
28/6/2012,717133.7948,No
28/6/2012,717737.9652,No
28/6/2012,717754.356,No
28/6/2012,717970.7569,No
28/6/2012,718295.8615,No
28/6/2012,718452.8084,No
28/6/2012,718618.9409,No
28/6/2012,718676.4025,No
28/6/2012,720356.7102,No
28/6/2012,721571.4963,No
28/6/2012,721987.8262,No
28/6/2012,722293.5038,No
28/6/2012,722369.0945,No
28/6/2012,722449.4409,No
28/6/2012,723306.9417,No
28/6/2012,723679.1118,No
28/6/2012,724052.6458,No
28/6/2012,724271.472,No
28/6/2012,724303.6577,No
28/6/2012,724313.1633,No
28/6/2012,724361.5732,No
28/6/2012,724377.5585,No
28/6/2012,724402.7687,No
28/6/2012,724640.4006,No
28/6/2012,724768.1428,No
28/6/2012,724793.1856,No
28/6/2012,724893.0045,No
28/6/2012,725393.2999,No
28/6/2012,725514.207,No
28/6/2012,725851.5365,No
28/6/2012,727843.623,No
28/6/2012,728559.5111,No
28/6/2012,728765.116,No
28/6/2012,729362.3081,No
28/6/2012,729606.4499,No
