PROVINCE,AMPHOE,TEXTURE,SOIL,Bhumibol 2012-09-01,Sirikit 2012-09-01,KhwaeNoi 2012-09-01,PaSak  2012-09-01,Bhumibol 2012-09-02,Sirikit 2012-09-02,KhwaeNoi 2012-09-02,PaSak  2012-09-02,Bhumibol 2012-09-03,Sirikit 2012-09-03,KhwaeNoi 2012-09-03,PaSak  2012-09-03,Bhumibol 2012-09-04,Sirikit 2012-09-04,KhwaeNoi 2012-09-04,PaSak  2012-09-04,Bhumibol 2012-09-05,Sirikit 2012-09-05,KhwaeNoi 2012-09-05,PaSak  2012-09-05,Bhumibol 2012-09-06,Sirikit 2012-09-06,KhwaeNoi 2012-09-06,PaSak  2012-09-06,Bhumibol 2012-09-07,Sirikit 2012-09-07,KhwaeNoi 2012-09-07,PaSak  2012-09-07,rainfall - 2/9/2012,rainfall - 3/9/2012,rainfall - 4/9/2012,rainfall - 5/9/2012,rainfall - 6/9/2012,rainfall - 7/9/2012,FLOOD
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,0.00,0.00,13.20,13.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,0.00,0.00,13.20,13.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนปนทรายแป้ง,11,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,0.00,0.00,13.20,13.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนเหนียวปนทรายแป้ง,10,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,0.00,0.00,13.20,13.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,0.00,0.00,13.20,13.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนเหนียวปนทรายแป้ง,10,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,0.00,0.00,13.20,13.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,0.00,0.00,13.20,13.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,น้ำ,0,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,0.00,0.00,13.20,13.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,0.00,0.00,13.20,13.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนปนทรายแป้ง,11,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,0.00,0.00,13.20,13.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,2.00,9.00,3.00,11.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,2.00,9.00,3.00,11.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินร่วนปนทรายแป้ง,11,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,2.00,9.00,3.00,11.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินร่วนเหนียวปนทรายแป้ง,10,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,2.00,9.00,3.00,11.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินร่วนเหนียวปนทรายแป้ง,10,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,2.00,9.00,3.00,11.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,2.00,9.00,3.00,11.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,น้ำ,0,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,1.00,2.00,9.00,3.00,11.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Bang Sai,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,2.50,4.00,18.00,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Sai,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,2.50,4.00,18.00,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Sai,ดินร่วนปนทรายแป้ง,11,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,2.50,4.00,18.00,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Sai,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,2.50,4.00,18.00,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,2.50,4.00,18.00,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,2.50,4.00,18.00,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,2.50,4.00,18.00,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,2.50,4.00,18.00,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,2.50,4.00,18.00,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,2.50,4.00,18.00,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,2.50,4.00,18.00,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินร่วนปนทรายแป้ง,11,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,2.50,4.00,18.00,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,2.50,4.00,18.00,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินร่วนเหนียวปนทรายแป้ง,10,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,7.50,0.50,31.00,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,7.50,0.50,31.00,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,7.50,0.50,31.00,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,7.50,0.50,31.00,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินร่วนปนทรายแป้ง,11,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,7.50,0.50,31.00,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,7.50,0.50,31.00,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,7.50,0.50,31.00,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,น้ำ,0,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,7.50,0.50,31.00,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,7.50,0.50,31.00,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินร่วนปนทรายแป้ง,11,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,7.50,0.50,31.00,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,7.50,0.50,31.00,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,น้ำ,0,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,7.50,0.50,31.00,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินร่วนเหนียวปนทรายแป้ง,10,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,12.50,3.00,27.50,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,12.50,3.00,27.50,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินร่วนปนทรายแป้ง,11,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,12.50,3.00,27.50,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,12.50,3.00,27.50,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,น้ำ,0,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,12.50,3.00,27.50,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,0.00,0.00,0.00,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,0.00,0.00,0.00,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนปนทรายแป้ง,11,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,0.00,0.00,0.00,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนเหนียวปนทรายแป้ง,10,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,0.00,0.00,0.00,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนเหนียวปนทรายแป้ง,10,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,0.00,0.00,0.00,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,น้ำ,0,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,0.00,0.00,0.00,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินร่วนเหนียวปนทรายแป้ง,10,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,4.50,4.00,21.50,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,4.50,4.00,21.50,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,4.50,4.00,21.50,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินร่วนปนทรายแป้ง,11,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,4.50,4.00,21.50,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,4.50,4.00,21.50,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,4.50,4.00,21.50,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,4.50,4.00,21.50,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,น้ำ,0,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,4.50,4.00,21.50,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนปนทรายแป้ง,11,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,2.00,1.00,9.00,7.00,2
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนเหนียวปนทรายแป้ง,10,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,2.00,1.00,9.00,7.00,2
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนเหนียวปนทรายแป้ง,10,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.00,0.00,2.00,1.00,9.00,7.00,2
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,8.50,23.50,15.50,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,8.50,23.50,15.50,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินร่วนปนทรายแป้ง,11,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,8.50,23.50,15.50,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินร่วนเหนียวปนทรายแป้ง,10,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,8.50,23.50,15.50,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,น้ำ,0,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,8.50,23.50,15.50,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินร่วนเหนียวปนทรายแป้ง,10,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,6.00,0.50,14.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียวปนทรายแป้ง,8,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,6.00,0.50,14.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียว,3,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,6.00,0.50,14.50,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินร่วนปนทรายแป้ง,11,6578,5275,343,182,6597,5314,362,193,6612,5359,382,203,6621,5431,400,217,6644,5501,415,232,6672,5562,426,249,6710,5610,436,261,0.50,0.00,6.00,0.50,14.50,1.50,2
