DATE,PROVINCE,DISTRICT,Flood
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Tharua,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Sai,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Sai,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Sai,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Sai,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Chai,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Ban,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Ban,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Ban,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Ban,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Ban,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,3
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,3
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,3
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phak Hai,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phak Hai,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phak Hai,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phak Hai,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phak Hai,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phachi,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phachi,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phachi,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Phachi,1
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Maharat,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Maharat,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Maharat,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Maharat,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Maharat,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Maharat,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,0
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Wang Noi,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Wang Noi,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Wang Noi,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Wang Noi,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Wang Noi,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Wang Noi,2
21-09-2012,Phra Nakhon Si Ayudhya,Amphoe Wang Noi,2
